pot,species,dung.buried,Hordeum,Anthyllis,Cistus,other,trad.group,dung.depth
108,c.depths,5000,0,0,0,11,c.depths,3.8
109,c.depths,5000,0,1,0,2,c.depths,3.8
110,c.depths,5000,0,1,1,2,c.depths,3.8
111,c.depths,5000,0,0,0,16,c.depths,3.8
112,c.depths,5000,0,0,0,5,c.depths,3.8
113,c.depths,5000,0,0,0,17,c.depths,3.8
114,c.depths,5000,0,0,0,6,c.depths,3.8
115,c.depths,5000,0,0,0,1,c.depths,3.8
116,c.depths,5000,0,0,0,4,c.depths,3.8
117,c.depths,5000,0,0,0,2,c.depths,3.8
118,c.disgr,0,0,0,2,6,c.disgr,0
119,c.disgr,0,0,1,1,8,c.disgr,0
120,c.disgr,0,0,0,0,9,c.disgr,0
121,c.disgr,0,0,1,0,4,c.disgr,0
122,c.disgr,0,0,0,0,3,c.disgr,0
123,c.disgr,0,0,0,5,6,c.disgr,0
124,c.disgr,0,0,0,0,6,c.disgr,0
125,c.disgr,0,0,2,0,1,c.disgr,0
126,c.disgr,0,0,0,4,0,c.disgr,0
127,c.disgr,0,0,0,4,0,c.disgr,0
128,c.holes,0,0,0,0,5,c.holes,0
129,c.holes,0,0,0,3,8,c.holes,0
130,c.holes,0,0,0,1,9,c.holes,0
131,c.holes,0,0,0,0,3,c.holes,0
132,c.holes,0,0,3,0,3,c.holes,0
133,c.holes,0,0,1,2,6,c.holes,0
134,c.holes,0,0,0,1,6,c.holes,0
135,c.holes,0,0,0,0,0,c.holes,0
136,c.holes,0,0,0,3,0,c.holes,0
137,c.holes,0,0,0,2,0,c.holes,0
1,Onit.ion,0,0,3,2,13,para,0
2,Onit.ion,0,0,1,0,10,para,0
3,Onit.ion,NA,0,3,5,16,para,1
4,Onit.ion,0,0,4,4,13,para,0
5,Onit.ion,0,0,1,3,9,para,0
6,Onit.ion,0,0,0,0,14,para,0
7,Onit.ion,0,0,1,2,15,para,0
8,Onit.ion,NA,0,0,1,16,para,16
9,Onit.ion,0,1,1,2,15,para,0
10,Scar.punc,7117,1,1,7,28,tele,1
11,Onth.rufi,1244,0,0,2,9,para,4.7
12,Onth.rufi,NA,0,1,2,11,para,1
13,Onth.rufi,260,0,0,0,8,para,1
14,Onth.rufi,0,0,0,3,31,para,0
15,Onth.rufi,2260,0,0,5,7,para,2.6
16,Onth.rufi,0,0,1,0,15,para,0
18,Onth.rufi,679,0,0,1,7,para,2
19,Onth.rufi,1418,0,0,4,7,para,3.2
20,Onth.rufi,289,0,1,7,20,para,1
